,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
247601,247601,http://www.billboard.com/charts/hot-100/1976-08-14,1976-08-14,77,Wake Up Susan,The Spinners (8-1976),Wake Up SusanThe Spinners,1,56.0,56,5,1976,8,14
280020,280020,http://www.billboard.com/charts/hot-100/1963-12-14,1963-12-14,56,She's Got Everything,The Essex Featuring Anita Humes (12-1963),She's Got EverythingThe Essex Featuring Anita Humes,1,57.0,56,5,1963,12,14
280490,280490,http://www.billboard.com/charts/hot-100/1964-05-30,1964-05-30,60,Tea For Two,Nino Tempo & April Stevens (5-1964),Tea For TwoNino Tempo & April Stevens,1,56.0,56,5,1964,5,30
281492,281492,http://www.billboard.com/charts/hot-100/1961-05-20,1961-05-20,69,Be My Boy,Paris Sisters (5-1961),Be My BoyParis Sisters,1,56.0,56,5,1961,5,20
281493,281493,http://www.billboard.com/charts/hot-100/1968-11-02,1968-11-02,69,Smell Of Incense,Southwest F.O.B. (11-1968),Smell Of IncenseSouthwest F.O.B.,1,56.0,56,5,1968,11,2
281581,281581,http://www.billboard.com/charts/hot-100/1965-04-10,1965-04-10,70,(Here They Come) From All Over The World,Jan & Dean (4-1965),(Here They Come) From All Over The WorldJan & Dean,1,56.0,56,5,1965,4,10
86228,86228,http://www.billboard.com/charts/hot-100/1967-12-30,1967-12-30,75,I Am The Walrus,The Beatles (12-1967),I Am The WalrusThe Beatles,1,56.0,56,4,1967,12,30
314386,314386,http://www.billboard.com/charts/hot-100/1961-01-14,1961-01-14,66,Cherry Pink And Apple Blossom White,Jerry Murad's Harmonicats (1-1961),Cherry Pink And Apple Blossom WhiteJerry Murad's Harmonicats,1,56.0,56,4,1961,1,14
316647,316647,http://www.billboard.com/charts/hot-100/1976-02-28,1976-02-28,86,Can The Can,Suzi Quatro (2-1976),Can The CanSuzi Quatro,1,56.0,56,4,1976,2,28
42237,42237,http://www.billboard.com/charts/hot-100/1961-07-15,1961-07-15,76,Eventually,Brenda Lee (7-1961),EventuallyBrenda Lee,1,56.0,56,3,1961,7,15
78977,78977,https://www.billboard.com/charts/hot-100/2018-10-27,2018-10-27,99,"If I'm Lyin, I'm Flyin",Kodak Black (10-2018),"If I'm Lyin, I'm FlyinKodak Black",1,74.0,56,3,2018,10,27
169243,169243,http://www.billboard.com/charts/hot-100/2009-05-09,2009-05-09,86,Butterfly Fly Away,Miley Cyrus & Billy Ray Cyrus (5-2009),Butterfly Fly AwayMiley Cyrus & Billy Ray Cyrus,1,56.0,56,3,2009,5,9
4746,4746,http://www.billboard.com/charts/hot-100/2013-07-13,2013-07-13,90,New Slaves,Kanye West (7-2013),New SlavesKanye West,1,56.0,56,2,2013,7,13
