,Song,Video Title,Views
82437,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
82637,Dura,,
82718,Filthy,Justin Timberlake - Filthy (Official Video),211014.0
82901,Friends,Camila Cabello - Real Friends (Audio),1796416.0
83011,Esskeetit,,
83113,Meant To Be,,
83327,No Excuses,Meghan Trainor - No Excuses,1034355.0
83475,El Farsante,,
83797,Drip,,
83800,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
84337,One Kiss,"Calvin Harris, Dua Lipa - One Kiss (Lyric Video)",1916118.0
84444,Narcos,,
84618,Lemon,,
84736,Most People Are Good,,
84872,Ghostface Killers,,
85135,Everyday,,
85137,KEKE,,
85139,La Modelo,,
85271,Hardaway,,
85308,Kevin's Heart,,
85312,Kooda,,
85313,Nowadays,,
85581,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
86119,Ice Tray,,
86227,Echame La Culpa,,
86236,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
86283,One Foot,,
86575,Moonlight,,
86687,Five More Minutes,,
86989,MIC Drop,,
87074,Everything's Gonna Be Alright,,
87093,How Long,,
87441,Marry Me,Thomas Rhett - Marry Me,851835.0
87694,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
87848,Most People Are Good,,
87932,Greatest Love Story,,
87989,Lemon,,
87996,Five More Minutes,,
88126,Lights Down Low,,
88190,New Freezer,,
88262,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
88275,Like I Loved You,,
88385,IDGAF,,
88488,Light It Up,,
88508,I'll Name The Dogs,,
88613,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
88756,Love So Soft,,
88788,El Farsante,,
88869,Dusk Till Dawn,,
88875,Losing Sleep,,
88896,Dura,,
88978,Echame La Culpa,,
89027,I Like Me Better,,
89036,F**k Love,,
89061,Jocelyn Flores,,
89088,Nowadays,,
89615,God's Plan,,
89758,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
89812,Gucci Gang,,
90070,Look Alive,,
90089,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
90143,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
90486,Meant To Be,,
90587,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
90607,Let You Down,NF - Let You Down,1774018.0
90660,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
90721,I Get The Bag,,
90737,I Fall Apart,,
91043,Friends,Camila Cabello - Real Friends (Audio),1796416.0
91154,How Long,,
91364,Gummo,,
91498,Look What You Made Me Do,,
91632,Marry Me,Thomas Rhett - Marry Me,851835.0
92080,Lemon,,
92173,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
92187,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
92192,Lights Down Low,,
92216,Greatest Love Story,,
92425,Dura,,
92468,Five More Minutes,,
92509,Like I Loved You,,
92609,Light It Up,,
92669,New Freezer,,
92703,Most People Are Good,,
92740,I'll Name The Dogs,,
92757,IDGAF,,
92968,I Like Me Better,,
93039,Echame La Culpa,,
93047,Losing Sleep,,
93083,Dusk Till Dawn,,
93102,Love So Soft,,
93125,F**k Love,,
93199,Jocelyn Flores,,
93238,Nowadays,,
93277,El Farsante,,
93347,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
93714,God's Plan,,
93883,Gucci Gang,,
94156,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
94170,Look Alive,,
94301,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
94396,Meant To Be,,
94526,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
94550,Let You Down,NF - Let You Down,1774018.0
94642,I Get The Bag,,
94674,Friends,Camila Cabello - Real Friends (Audio),1796416.0
94702,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
94769,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
94979,How Long,,
95006,I Fall Apart,,
95077,Gummo,,
95317,Marry Me,Thomas Rhett - Marry Me,851835.0
95756,Lights Down Low,,
95800,Dura,,
95804,Look What You Made Me Do,,
95890,Lemon,,
95896,Like I Loved You,,
95974,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
96150,Greatest Love Story,,
96178,Five More Minutes,,
96297,Light It Up,,
96353,IDGAF,,
96356,I'll Name The Dogs,,
96391,I Like Me Better,,
96462,Losing Sleep,,
96592,New Freezer,,
96771,Most People Are Good,,
96875,Echame La Culpa,,
96907,F**k Love,,
96992,Jocelyn Flores,,
96994,Dusk Till Dawn,,
97164,El Farsante,,
97785,No Smoke,,
97786,I Like Me Better,,
98189,Marry Me,Thomas Rhett - Marry Me,851835.0
98190,Mercy,Brett Young - Mercy,202721.0
98664,Legends,,
98665,Five More Minutes,,
98666,El Bano,,
99137,Make Me Feel,,
99138,I Lived It,,
99139,Gotti,,
99597,Faking It,,
99598,Everybody Hates Me,The Chainsmokers - Everybody Hates Me,3403440.0
99599,No Roots,,
99600,Focus,,
99617,God's Plan,,
99618,Nice For What,Drake - Nice For What,24421448.0
99649,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
99661,Look Alive,,
99697,Freaky Friday,,
99704,I Like It,,
99712,No Tears Left To Cry,Ariana Grande - No Tears Left To Cry,15873034.0
99930,In My Blood,Shawn Mendes - In My Blood,2822006.0
99989,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
100041,Filthy,Justin Timberlake - Filthy (Official Video),211014.0
100056,Everyday,,
100062,Gummo,,
100140,Drip,,
100279,Esskeetit,,
100491,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
100519,I Do,BØRNS - I Don't Want U Back,86519.0
100593,KEKE,,
100621,KOD,,
100862,Kevin's Heart,,
100865,Moonlight,,
101012,El Farsante,,
101015,Narcos,,
101029,Kooda,,
101297,Japan,,
101514,Nowadays,,
101742,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
101783,Friends,Camila Cabello - Real Friends (Audio),1796416.0
102077,New Freezer,,
102140,La Modelo,,
102219,Dura,,
102530,One Kiss,"Calvin Harris, Dua Lipa - One Kiss (Lyric Video)",1916118.0
103002,No Excuses,Meghan Trainor - No Excuses,1034355.0
103714,Motiv8,,
103716,MIC Drop,,
103938,Notice Me,,
104299,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
104867,Echame La Culpa,,
105127,Get Up 10,,
105130,NBAYoungboat,,
105483,Get Along,,
105680,Lemon,,
105702,Gucci Flip Flops,,
106695,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
106771,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
106870,My Dawg,,
106876,One Foot,,
107011,Most People Are Good,,
107078,No Roots,,
107112,Krippy Kush,,
107183,Hardaway,,
107321,Medicine,,
107502,IDGAF,,
107525,Losing Sleep,,
107546,Lemon,,
107547,Greatest Love Story,,
107584,Gummo,,
107641,Look What You Made Me Do,,
